Table 1. Data Used in This Study																					
Name																					
 	"Lat., degreesN"	"Lon., degreesE"	"Az, degrees"	"as, degrees"	"ad, degrees"	"Dmax, km"	"L, km"	Vcn	 Vcmpn	Vupn	Vupn (heuret)	"Vtn, mm.a-1"	Vtn (heuret)	Vsubn	Vzn	"A, Ma"	"f, km"	"Fsp, 1012 N.m-1"	UPN	Slab Edge	UPS
NHEB1	-14	"166,2"	83	52	82	670	709	103	88	91	90.6	105	105.1	3	98	60	5863	18	o	y	E3
NHEB2	-12	"165,7"	66	57	72	670	722	163	87	67	67.4	145	144.7	21	151	-	-	18	o	y	E3
BRET3	"-6,1"	152	335	44	70	670	760	120	11	-90	-90.4	20	19.5	101	106	31	3283	14	o	n	E3
BRET2	-7	150	339	41	82	670	741	75	2	-94	-94.4	-18	-17.5	93	68	31	2105	14	o	y	E3
BRET1	"-7,3"	148	10	37	76	670	769	65	48	0	0	-22	-22	83	56	31	1747	14	o	y	E3
																					
																					
Cascadia (CASC)	42	234.7									25.3		23.9								
Chile triple junction (TRI)	-43	284.5									42.7		42.7								
	-45	283.9									41.7		41.7								
	-47	283.8									40.2		40.2								
	-49	282.6									40.8		40.8								
Patagonia (PAT)	-51	283.3									41		41								
	-53	283.9									39.6		39.6								
	-55	286.7									32.3		32.3								
Sandwich (SAND)	-54.8	329									-15.8		-17								
Tonga	-15.5	187.7									-28		113.6								
